Sr No.,Model,Colour,Memory,RAM,Battery_,Rear Camera,Front Camera,AI Lens,Mobile Height,Processor_,Prize
498,Infinix Hot 11,Silver Wave,64,4,5200,13MP,8MP,0,16.76,MediaTek Helio G70,"9,999"
499,Infinix Note 12 Pro,Tuscany Blue,256,8,5000,108MP,16MP,1,17.02,Mediatek Helio G99,"16,999"
500,Infinix Note 12 Pro,Volcanic Grey,256,8,5000,108MP,16MP,1,17.02,Mediatek Helio G99,"16,999"
501,vivo T1 Pro 5G,Turbo Black,128,6,4700,64MP,16MP,0,16.36,Qualcomm Snapdragon 778G 5G Mobile Platform,"23,999"
502,Tecno Pova 3,Eco Black,128,6,7000,50MP,8MP,0,17.53,MediaTek Helio G88,"13,999"
503,REDMI 12c,Royal Blue,128,6,5000,50MP,5MP,0,17.04,MediaTek Helio G85,"10,799"
504,LAVA Z2,Flame Red,32,3,5000,13MP,8MP,0,16.55,MediaTek Helio G35,"7,999"
505,Infinix Hot 12 Pro,Lightsaber Green,64,6,5000,50MP,8MP,0,16.76,Unisoc T616,"9,999"
506,Infinix Hot 12 Pro,Racing Black,64,6,5000,50MP,8MP,0,16.76,Unisoc T616,"9,999"
507,Infinix Hot 12 Pro,Electric Blue,64,6,5000,50MP,8MP,0,16.76,Unisoc T616,"9,999"
508,realme Narzo 50A,Oxygen Green,128,4,6000,50MP,8MP,0,16.51,MediaTek Helio G85,"11,762"
509,REDMI Note 11T 5G,Aquamarine Blue,128,6,5000,50MP,16MP,0,16.76,Mediatek Dimensity 810,"18,990"
510,REDMI Note 11T 5G,Matte black,128,8,5000,50MP,16MP,0,16.76,Mediatek Dimensity 810,"18,999"
511,Infinix Note 11s Free Fire Edition,Mithril Grey,128,8,5000,50MP,16MP,0,17.65,MediaTek Helio G96,"15,999"
512,vivo V25 5G,Elegant Black,256,8,4500,64MP,50MP,0,16.36,Mediatek Dimensity 900,"29,418"
513,vivo V25 Pro 5G,Sailing Blue,256,8,4830,64MP,32MP,0,16.66,Mediatek Dimensity 1300,"33,367"
514,MOTOROLA g31,Meteorite Grey,64,4,5000,50MP,13MP,0,16.26,Mediatek Helio G85,"11,999"
515,SAMSUNG Galaxy A54 5G,Awesome Violet,256,8,5000,50MP,32MP,0,16.26,"Exynos 1380, Octa Core ","40,999"
516,realme C11 2021,Cool Grey,32,2,5000,8MP,5MP,0,16.51,Octa-core,"7,499"
517,vivo Y21T,Pearl White,128,4,5000,50MP,8MP,0,16.71,Qualcomm Snapdragon 680,"15,499"
518,REDMI K50i 5G,Phantom Blue,256,8,5080,64MP,16MP,0,16.76,Dimensity 8100,"29,990"
519,Tecno Spark Go 2023,Nebula Purple,32,3,5000,13MP,5MP,0,16.66,MediaTek Helio A22,"7,280"
520,APPLE iPhone 14 Plus,Purple,128,3,4323,12MP,12MP,0,17.02,6 Core,"80,999"
521,Tecno Spark Go 2023,UYUNI BLUE,64,4,5000,13MP,5MP,0,16.66,Mediatek Helio A22,"8,999"
522,IQOO Neo 7 5G,Frost Blue,256,4,5000,64MP,16MP,0,17.22,Dimensity 8200,"34,688"
523,realme 9 5G,Meteor Black,64,4,5000,48MP,16MP,0,16.51,Mediatek Dimensity 810,"13,499"
524,realme 9 5G,Supersonic Black,64,4,5000,48MP,16MP,0,16.51,Mediatek Dimensity 810,"13,499"
525,APPLE iPhone 14 Plus,Starlight,128,4,4323,12MP,12MP,0,17.02,ios,"80,999"
526,vivo Y100 5G,Metal Black,128,8,4500,64MP,16MP,0,16.21,Mediatek Dimensity 900,"23,999"
527,vivo Y100 5G,Twilight Gold,128,8,4500,64MP,16MP,0,16.21,Mediatek Dimensity 900,"23,999"
528,SAMSUNG Galaxy A23,Blue,128,6,5000,50MP,8MP,0,16.76,Octa-core(EXYNOS),"17,499"
529,realme Narzo 50i Prime,Mint Green,64,4,5000,8MP,5MP,0,16.51,Unisoc T612 processor,"8,460"
530,SAMSUNG Galaxy A04,Copper,128,4,5000,50MP,5MP,0,16.51,Mediatek Helio P35,"12,999"
531,OPPO F21s Pro,Starlight Black,128,8,4500,64MP,16MP,0,16.33,Qualcomm SM6225 Snapdragon 680 4G (6 nm),"20,890"
532,APPLE iPhone 12,Blue,64,8,2815,12MP,12MP,0,15.49,ios,"53,999"
533,SAMSUNG Galaxy A13,Peach,128,6,5000,50MP,8MP,0,16.76,Exynos Octa Core,"16,499"
534,Nokia G11 Plus,Grey,64,4,5000,50MP,8MP,0,16.55,Octa Core,"9,790"
535,SAMSUNG Galaxy A04e,Light Blue,64,3,5000,13MP,5MP,0,16.51,Mediatek Helio P35,"9,999"
536,SAMSUNG Galaxy S23 5G,Cream,256,8,3900,50MP,12MP,0,15.49,Qualcomm Snapdragon 8 Gen 2,"79,999"
537,LAVA Z21,Cyan,32,2,3100,5MP,2MP,0,12.7,Octa Core,"5,998"
538,Tecno Spark 8T,Turquoise Cyan,64,4,5000,50MP,8MP,0,16.76,MediaTek Helio G35,"9,990"
539,SAMSUNG Galaxy A54 5G,Awesome Lime,128,8,5000,50MP,32MP,0,16.26,"Exynos 1380, Octa Core ","38,999"
540,OPPO A77,Sky Blue,128,4,5000,50MP,8MP,0,16.66,Mediatek Helio G35,"15,999"
